Brand,Description,Price
Panasonic,"Eluga A2 (3 GB RAM, 16 GB ROM 8 MP, 5 MP Camera)- Gold",11000.0
Leagoo,P1 - Champange Gold Smartphone,7200.0
Leagoo,"Z5 Smart Mobile Phone (8 GB ROM, 1 GB RAM) - Gold",5960.0
OBI,"SF1 Smartphone (32GBROM, 3GB RAM, 13 MP,5 MP)",13000.0
Nokia,Microsoft Lumia 435 Double Sim (Orange),4400.0
Microsoft,"Lumia 535 D (1GB RAM, 8GB ROM)- Grey",6500.0
Microsoft,Lumia 540 Black (1GB/8GB),7800.0
M-Tech,"Turbo 10 Smart Mobile Phone (1GB RAM, 8GB ROM)-Black",6270.0
Nokia,"X2 Smart Phone (4 GB ROM, 1 GB RAM, Dual Sim)- White",6750.0
Samsung,"Galaxy Note8 Smart Mobile Phone [6 GB RAM, 64 GB ROM - Black]",100350.0
Xiaomi,"Mi A1 Smart Mobile Phone [4GB RAM, 64GB ROM - Gold]",29999.0
Micromax,"HS2 CANVAS INFINITY (32 GB - Black, 18:9 Full Vision Display)",17575.0
Apple,iPhone SE 16GB - Gold,35000.0
Apple,iPhone 5S 16GB - Space Grey,29999.0
Leagoo,"M5 Smart Mobile Phone (16GB ROM, 2 GB RAM) - Grey",9195.0
UMIDIGI,"Crystal 4G Smart Mobile Phone (4GB RAM, 64GB ROM - Black)",22580.0
Nokia,Microsoft Lumia 532 Double Sim (Black),5200.0
Samsung,"(A510H) Galaxy A5 2016 Android Smart Mobile [16 GB ROM, 2 GB RAM]- Black",24170.7
Xiaomi,"Redmi Note 5A Smart Moblile Phone ( 2 GB RAM, 16 GB ROM) - Gold",16800.0
Samsung,"Samsung Galaxy On7 Pro (G600F) (16GB, Gold) [smartphone / smart phone / mobile / mobiles ]",14405.0
Nokia,Microsoft Lumia 435 Double Sim (Black),4400.0
Leagoo,"P1 Smart Mobile Phone (8 GB ROM, 1 GB RAM) - Champagne Gold",7800.0
Samsung,"J2 ACE Smartphone (2GB RAM, 8GB ROM, 8MP Camera)- Gold ",12500.0
Archos,"Diamond S Smartphone 5.1 Android (1GB RAM, 8GB ROM)- Black",5650.0
Samsung,"(J106H) J1 Nxt Prime Android Smart Mobile Phone [8 GB ROM, 1 GB RAM]- Black",7802.7
M-Tech,"Ace 11 Smart Mobile Phone (512Mb RAM, 4GB ROM)-Black",4163.0
Nokia,"Nokia 6 Android SmartPhone [3 GB RAM, 32 GB ROM] - Black",25600.0
Samsung,"Galaxy Note8 Smart Mobile Phone [6 GB RAM, 64 GB ROM] - Maple Gold",100350.0
Apple,"iPhone 7 (2GB RAM, 128GB ROM) - Red",90000.0
Samsung,"J7 Pro Android Smart Mobile Phone [3GB RAM, 64GB - Black]",30600.0
Apple,"iPhone 6 (128 GB,1 GB RAM)- Space Grey",55000.0
Nokia,"X2 Black Smart Phone(4 GB ROM, 1 GB RAM, Dual Sim)",6750.0
Microsoft,Lumia 535 Black (1GB/8GB),6500.0
Leagoo,"M5 plus Smart Mobile Phone (16GB ROM, 2 GB RAM) - Grey",15769.05
Motorola,Moto C Plus,13150.0
Leagoo,"M8 Smart Mobile Phone (16GB ROM, 2 GB RAM) - Grey",12855.0
Leagoo,"M8 Smart Mobile Phone (16GB ROM, 2 GB RAM) - Gold",12855.0
Samsung,"J7 Max Android Smart Mobile Phone [4 GB RAM, 32 GB ROM - Gold]",26310.0
Apple,iPhone SE 16GB - Silver,35000.0
Apple,iPhone SE 16GB - Rose Gold,35000.0
Leagoo,"Z5 Smart Mobile Phone (8 GB ROM, 1 GB RAM) - White",5960.0
Apple,"iPhone 7 (256 GB ROM, 2 GB RAM) - Jet Black",90000.0
Leagoo,"T1 Smart Mobile Phone (16 GB ROM, 2 GB RAM) - Gold",15695.0
Samsung,"A5 2016 (A510H) Smart Mobile Phone [2GB RAM, 16GB]",24175.0
OnePlus,"5 Smart Mobile Phone [8GB RAM, 128GB - Slate Grey] Smartphone, Mobile Phone, OnePlus5",69500.0
Leagoo,"M5 Smart Mobile Phone (16GB ROM, 2 GB RAM) - Gold",9195.0
Leagoo,"M5 Smart Mobile Phone (16GB ROM, 2 GB RAM) - White",9195.0
Oppo,"A71 Android Smart Mobile Phone (3GB RAM, 16GB, Gold) ",20890.0
